name,x,y,z,rh
Teutsch_76,1533.2104757295597,-645.0272037466538,3080.617883402599,1.2916524672840328
M_52,671.0197894876316,-103.93931346056443,1255.3012898016816,3.0793508475253986
C_2351+614,1183.77997914831,-29.878499866552204,2202.901095422432,0.7749914803704196
NAME_Cl_Mayer_1,785.1747747477917,75.63139370556866,1468.1062718297705,1.6783064628610842
NGC_225,330.8570174460445,63.14427543578996,627.4989451138943,0.9715444233618056
C_0225+615,1209.4152728249342,921.4943431164395,2834.125283766967,2.294571812153686
IC_166,1785.8360966782614,953.3073553033348,3784.437995875411,5.592516373173949
Cl_King_15,2001.4500275267364,290.6244511636841,3780.3861715867115,1.9849396563837851
NGC_654,860.3309813703311,419.76016723454677,1791.5299464958616,1.3209433437651523
NAME_Majaess_225,937.5369770312088,-82.98576382890178,1764.6919787036252,1.5499829607408393
Cl_Czernik_44,1209.561856422271,-139.6301896152298,2285.533707200013,1.8806141401422367
Cl_King_12,1176.0939442348608,-35.62473426210218,2208.5530331917817,1.1319517946179394
Cl_Czernik_17,720.3119284164213,1157.417113758481,2559.5969117343466,2.0297395914463374
Cl_Stock_24,1141.9078558204296,200.21912182682703,2177.352440389586,1.8924388441779256
TYC_4051-2533-1,559.4362237541495,502.24723510917045,1412.3663923985487,1.6606960293651851
NAME_W_3_OH,691.5024439775068,514.3356951909543,1620.0333831824496,6.827305898501316
Teutsch_55,746.9260039042773,570.0359052079225,1772.342125963656,1.2916524672840328
[KPS2012]_MWSC_3670,2581.912106919733,-772.1554508355671,5094.08233461987,2.7124701812964687
[KPS2012]_MWSC_0092,1146.786538420744,293.16500056944477,2237.9166715606716,1.1437200503871083
Cl_Stock_17,1122.2860852023375,-79.48180244047836,2130.42022466039,0.6654189646527372
NGC_366,981.1058405407267,292.92789755124255,1943.565017466121,1.4766675718235944
Cl_Czernik_7,1200.6717219481163,714.4428361451658,2655.929187684603,6.273740555379588
C_0109+620,603.2761524447286,196.45292514751537,1206.3304406722352,0.6827305898501317
[KPS2012]_MWSC_0165,1966.4202841713693,1198.7069745091917,4380.023391456586,2.5954261900212794
[KPR2005]_117,551.2533845015379,-301.17745943569895,1194.9526534568045,3.3952007711466003
IRAS_02541+6208,749.4517250971442,744.7791777474637,2012.4997113397872,25.00270133099807
C_0240+621,1335.306875978072,1165.108701006439,3379.3204792982824,2.301766956306152
NAME_PWM_4,3584.3065055634656,-142.13310738702404,6838.262136973101,5.8308882808822045
NGC_1502,203.27494047021116,381.565218438369,824.5936489691258,1.0105652742067524
[KPS2012]_MWSC_3495,1002.3087133693369,-841.6581157719055,2497.876870315907,1.4761742483246092
Berkeley_7,1069.8474236795532,581.9923831452335,2326.2710495570277,1.298960669588171
[FSR2007]_0498,971.4671470262086,124.74079306346825,1872.6260189356167,1.767787126264069
[KPR2005]_130,1594.98584386782,-50.70498211047489,3058.749607707443,6.052314418130897
IRAS_02497+6217,686.58688531686,654.4946414912887,1824.1083337263944,2.1958091943828557
[KPS2012]_MWSC_3502,1050.4520971505326,-863.618954023082,2621.2443025868697,1.088678508139399
[KPS2012]_MWSC_0215,682.5809152336285,547.0134478372134,1686.6711540914152,1.2178437548678025
[AGK2012]_Cep_OB3b_West,3155.53434230562,-938.9568132420819,6351.4312652658155,9.59513261410996
Cl_Stock_20,613.3227712473215,67.90650060171716,1191.6713167000098,1.527470444847344
NGC_7160,320.30286513422374,-196.68193265996595,724.7847228328889,0.842844273295023
[KPS2012]_MWSC_0120,2000.929102644637,788.3483053865536,4153.2433683441905,1.5564732027751067
[KPS2012]_MWSC_5011,-62.64880139865984,581.4172227478298,1129.6075162531063,3.207156305224554
C_2347+624,1044.761326344141,-45.998925766693574,2026.5828677367085,1.208820327901421
[KPR2005]_1,1282.9358842481274,54.05133253390718,2488.202960041601,0.7011827679541893
[KPS2012]_MWSC_0037,929.2098224257708,95.94254008661392,1810.8125402758583,1.010239290895501
[KPR2005]_125,456.03308862221724,-129.72518763315094,919.4538856164701,1.1255828643475143
Kronberger_55,908.9631488831152,-27.50668480140881,1767.815990498934,0.4428522744973827
C_0100+625,1125.4233901304947,318.03845785306504,2274.3281408525086,0.485391201382819
C_0158+626,707.5687521058009,417.5054397443205,1601.198232555374,0.9557887085833752
[KPS2012]_MWSC_3687,793.1225548486143,-209.4286151073554,1602.2160491533662,0.33213920587303697
Berkeley_5,2779.516379827524,1411.8375037912783,6101.376602633122,2.323810239081986
[KPS2012]_MWSC_3688,420.74323723202446,-109.3340571513775,852.5668256918842,0.35059138397709466
[FSR2007]_0542,1013.3012501465863,398.84356478195195,2138.2386618572696,2.47950656833672
Teutsch_23,1320.2998811058706,-69.74856186644058,2594.3999010395128,0.97040559448459
[KPS2012]_MWSC_3689,307.02026333522446,-79.257932261961,624.0646906171891,0.7749914803704196
[KPS2012]_MWSC_0116,1301.1855467522023,471.51068296109986,2719.2674176654155,2.2229271980649554
[BDS2003]_51,5185.287553399163,1600.570354187718,10705.090916468627,10.886785081393993
Trumpler_3,183.98419664880385,204.36384127718748,544.7958364028921,1.6756852077031068
[KPS2012]_MWSC_3692,1282.1787939514634,-317.01032857659544,2610.9381440235097,3.210678990106024
C_0029+628,1140.3978380526762,160.00861367916917,2276.064729860127,1.8781531469227088
Negueruela_1,1310.8295323235877,-72.16226171338282,2601.073529366814,0.8181561469243623
